접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,계약기간,신규계약구분,갱신청구권사용,종전보증금,종전임대료
2025,11230.0,동대문구,10200.0,용두동,1.0,대지,144.0,31.0,2.0,20251231,월세,21.9,2000,90,동대문베네스트2,2022.0,오피스텔,26.02~28.02,신규,,,
2025,11290.0,성북구,13700.0,상월곡동,1.0,대지,75.0,34.0,3.0,20251231,월세,43.04,1500,105,동덕쉐르빌,2015.0,연립다세대,26.01~28.01,신규,,,
2025,11230.0,동대문구,10900.0,휘경동,1.0,대지,246.0,0.0,9.0,20251231,월세,14.04,1000,75,맥스타워,2021.0,연립다세대,26.02~27.02,갱신,,1000.0,75.0
2025,11290.0,성북구,12500.0,안암동5가,1.0,대지,134.0,24.0,2.0,20251231,월세,35.91,1000,85,제니하우스,2017.0,연립다세대,25.12~26.12,신규,,,
2025,11290.0,성북구,11600.0,동선동1가,1.0,대지,121.0,18.0,6.0,20251231,월세,12.94,4000,50,허브하우스,2012.0,연립다세대,26.01~28.01,신규,,,
2025,11230.0,동대문구,10300.0,제기동,1.0,대지,1197.0,0.0,3.0,20251230,월세,53.26,13000,30,(1197-0),1979.0,연립다세대,26.01~28.01,신규,,,
2025,11290.0,성북구,13900.0,석관동,1.0,대지,175.0,14.0,4.0,20251230,월세,29.93,2000,95,(175-14),2019.0,연립다세대,26.02~28.02,신규,,,
2025,11230.0,동대문구,10700.0,청량리동,1.0,대지,2.0,7.0,8.0,20251230,월세,19.0,11600,5,(2-7),2012.0,오피스텔,26.02~28.02,신규,,,
2025,11290.0,성북구,12000.0,동선동5가,1.0,대지,63.0,0.0,4.0,20251230,월세,29.96,27500,6,그랑캐슬,2019.0,연립다세대,26.01~28.01,갱신,,27700.0,0.0
2025,11230.0,동대문구,10600.0,장안동,1.0,대지,316.0,23.0,3.0,20251230,월세,46.73,25800,15,까사벨로2,2018.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,11400.0,삼선동4가,1.0,대지,315.0,0.0,2.0,20251230,월세,21.61,1000,60,백림빌딩,2013.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,11800.0,동선동3가,1.0,대지,214.0,2.0,2.0,20251230,월세,40.78,3000,100,우정빌라트,2001.0,연립다세대,26.02~28.02,신규,,,
2025,11230.0,동대문구,10800.0,회기동,1.0,대지,60.0,13.0,5.0,20251230,월세,43.67,500,65,장씨다세대,2002.0,연립다세대,25.12~26.12,신규,,,
2025,11230.0,동대문구,10400.0,전농동,1.0,대지,620.0,71.0,5.0,20251230,월세,45.05,3000,155,청량리더블유디세븐스,2023.0,오피스텔,26.02~27.02,신규,,,
2025,11230.0,동대문구,10600.0,장안동,1.0,대지,365.0,9.0,7.0,20251230,월세,22.68,3896,15,케이타워,2020.0,오피스텔,26.01~27.12,갱신,,66.0,34.0
2025,11230.0,동대문구,10500.0,답십리동,1.0,대지,494.0,1.0,8.0,20251230,월세,19.05,1000,65,한일노벨리아,2016.0,오피스텔,26.01~27.01,신규,,,
2025,11230.0,동대문구,10600.0,장안동,1.0,대지,423.0,6.0,3.0,20251229,월세,16.32,500,50,(423-6),2011.0,연립다세대,25.12~26.12,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,693.0,11.0,2.0,20251229,월세,93.88,500,40,(693-11),2001.0,연립다세대,26.02~27.02,신규,,,
2025,11290.0,성북구,13800.0,장위동,1.0,대지,219.0,277.0,3.0,20251229,월세,29.97,13000,10,JK하우스A동,2016.0,연립다세대,26.02~28.02,신규,,,
2025,11230.0,동대문구,10400.0,전농동,1.0,대지,100.0,1.0,8.0,20251229,월세,14.47,1000,60,다스하우스,2018.0,오피스텔,25.12~26.12,신규,,,
2025,11230.0,동대문구,10200.0,용두동,1.0,대지,104.0,3.0,21.0,20251229,월세,23.47,1000,85,동대문 푸르지오시티,,오피스텔,26.01~26.12,갱신,,5000.0,59.0
2025,11290.0,성북구,12200.0,안암동2가,1.0,대지,153.0,1.0,4.0,20251229,월세,14.67,2000,66,밀로바니,2018.0,연립다세대,26.01~28.01,신규,,,
2025,11230.0,동대문구,11000.0,이문동,1.0,대지,255.0,190.0,6.0,20251229,월세,17.39,1000,70,수아주캠퍼스빌,2019.0,오피스텔,26.01~28.01,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,202.0,36.0,5.0,20251229,월세,28.08,19000,15,예담채,2022.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,202.0,36.0,5.0,20251229,월세,29.32,19500,15,예담채,2022.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,1054.0,0.0,2.0,20251229,월세,19.7,5372,21,정릉하늘마루,2020.0,연립다세대,26.01~28.03,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,1054.0,0.0,4.0,20251229,월세,19.7,5372,21,정릉하늘마루,2020.0,연립다세대,26.01~28.03,신규,,,
2025,11230.0,동대문구,10500.0,답십리동,1.0,대지,497.0,9.0,4.0,20251229,월세,15.67,12000,40,젠트리움,2020.0,오피스텔,26.02~28.02,신규,,,
2025,11230.0,동대문구,10200.0,용두동,1.0,대지,255.0,70.0,7.0,20251229,월세,26.65,1000,110,청계다우 아트리체 디벨,2020.0,오피스텔,26.02~27.02,신규,,,
2025,11230.0,동대문구,10400.0,전농동,1.0,대지,127.0,57.0,4.0,20251229,월세,49.06,30000,10,타워빌,2019.0,연립다세대,26.02~28.02,신규,,,
2025,11230.0,동대문구,10500.0,답십리동,1.0,대지,1.0,125.0,3.0,20251229,월세,34.77,1000,63,현대빌,2013.0,연립다세대,26.02~28.01,신규,,,
2025,11230.0,동대문구,10700.0,청량리동,1.0,대지,235.0,6.0,12.0,20251229,월세,21.2,5000,85,힐스테이트 청량리역,2023.0,오피스텔,25.12~26.12,신규,,,
2025,11230.0,동대문구,10500.0,답십리동,1.0,대지,22.0,3.0,3.0,20251228,월세,26.56,23814,13,샤인빌,2023.0,연립다세대,25.12~27.12,갱신,,26000.0,0.0
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,922.0,1.0,2.0,20251228,월세,49.92,2000,80,영빈파크빌라,1987.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,11900.0,동선동4가,1.0,대지,148.0,0.0,2.0,20251228,월세,33.34,1000,65,영팰리스,2014.0,오피스텔,26.02~28.01,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,1054.0,0.0,2.0,20251228,월세,19.7,5372,21,정릉하늘마루,2020.0,연립다세대,26.01~28.03,신규,,,
2025,11290.0,성북구,13500.0,종암동,1.0,대지,10.0,11.0,4.0,20251228,월세,29.73,3000,50,천우네오젠(10-11),2014.0,연립다세대,25.12~29.12,신규,,,
2025,11230.0,동대문구,10400.0,전농동,1.0,대지,103.0,495.0,4.0,20251227,월세,20.1,500,36,(103-495),2009.0,연립다세대,26.02~27.02,신규,,,
2025,11290.0,성북구,12300.0,안암동3가,1.0,대지,133.0,59.0,4.0,20251227,월세,37.72,3000,85,(133-59),1995.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,302.0,0.0,4.0,20251227,월세,36.83,1000,90,(302-0),2008.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13100.0,보문동2가,1.0,대지,82.0,0.0,2.0,20251227,월세,28.96,10000,30,(82),2002.0,오피스텔,26.02~28.02,신규,,,
2025,11230.0,동대문구,10600.0,장안동,1.0,대지,372.0,3.0,13.0,20251227,월세,21.6,9600,9,SM타워 오피스텔,2012.0,오피스텔,26.01~28.01,신규,,,
2025,11290.0,성북구,10900.0,동소문동6가,1.0,대지,30.0,0.0,2.0,20251227,월세,47.45,40000,15,나인하우스,2023.0,연립다세대,26.03~28.03,신규,,,
2025,11230.0,동대문구,10900.0,휘경동,1.0,대지,246.0,0.0,8.0,20251227,월세,13.95,2000,59,맥스타워,2021.0,연립다세대,26.01~27.01,갱신,,2000.0,56.0
2025,11290.0,성북구,11600.0,동선동1가,1.0,대지,121.0,5.0,8.0,20251227,월세,12.99,5000,50,바로세움,2014.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13800.0,장위동,1.0,대지,8.0,2.0,5.0,20251227,월세,18.03,1000,70,석계역 한일노벨리아시티,2019.0,오피스텔,25.12~26.12,신규,,,
2025,11230.0,동대문구,10400.0,전농동,1.0,대지,601.0,2.0,3.0,20251227,월세,16.58,1000,65,에스앤제이프리미안,2017.0,오피스텔,25.12~26.12,신규,,,
2025,11230.0,동대문구,10200.0,용두동,1.0,대지,40.0,35.0,5.0,20251227,월세,23.5,5000,45,에이플러스빌,2011.0,오피스텔,25.12~26.12,신규,,,
2025,11290.0,성북구,13800.0,장위동,1.0,대지,219.0,201.0,1.0,20251227,월세,46.5,14000,10,우봉빌라,1993.0,연립다세대,26.02~28.02,신규,,,
2025,11290.0,성북구,13300.0,정릉동,1.0,대지,165.0,13.0,4.0,20251227,월세,29.78,3000,90,위미빌,2017.0,연립다세대,26.02~28.02,신규,,,
